output_id,method,instance_mae,creator_mae,top1_hit,coverage_at_k,precision_at_k,recall_at_k,creator_precision_at_k,creator_recall_at_k,axioms_proven,axioms_total,is_dna_case
output_022,loo_alone,0.042419948497238895,0.07432643432574859,False,0.0,0.0,0.0,0.4,0.4,0,0,True
output_022,shapley_alone,0.043098911956412495,0.08168384798155198,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_023,cascade_v,0.023419048768786543,0.12602957553672364,False,0.0,0.0,0.0,0.0,0.0,2,3,False
output_023,trak_alone,0.04212625063260552,0.10972929448620697,False,0.0,0.0,0.0,0.25,0.25,0,0,False
output_023,loo_alone,0.043616904418073976,0.11150784090218235,False,0.0,0.0,0.0,0.25,0.25,0,0,False
output_023,shapley_alone,0.04456152389504109,0.11363825046323209,False,0.0,0.0,0.0,0.25,0.25,0,0,False
output_024,cascade_v,0.012269938787434,0.05377907019887379,False,0.0,0.0,0.0,0.25,0.25,2,3,False
output_024,trak_alone,0.04545454596253959,0.15633023391903203,False,0.0,0.0,0.0,0.5,0.5,0,0,False
output_024,loo_alone,0.04545454596253959,0.1454038502071938,False,0.0,0.0,0.0,0.5,0.5,0,0,False
output_024,shapley_alone,0.04545454596253959,0.23347044261377686,False,0.0,0.0,0.0,0.25,0.25,0,0,False
output_025,cascade_v,0.024096385452402645,0.13307953470209494,False,0.0,0.0,0.0,0.5,0.5,3,3,True
output_025,trak_alone,0.04545164560563342,0.14733921112800824,False,0.0,0.0,0.0,0.5,0.5,0,0,True
output_025,loo_alone,0.04545454528521408,0.17467611655592916,False,0.0,0.0,0.0,0.25,0.25,0,0,True
output_025,shapley_alone,0.045454545285214074,0.16260909288081077,False,0.0,0.0,0.0,0.25,0.25,0,0,True
output_026,cascade_v,0.014932483173524722,0.05475001251188298,False,0.0,0.0,0.0,0.4,0.4,2,3,True
output_026,trak_alone,0.04347826127448807,0.09764747743805248,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_026,loo_alone,0.043478261274488075,0.10676567389708663,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_026,shapley_alone,0.04347826127448808,0.1154827723307535,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_027,cascade_v,0.02197802205989649,0.11764705926179886,False,0.0,0.0,0.0,0.0,0.0,1,3,True
output_027,trak_alone,0.04761075596092414,0.28534115580996017,False,0.0,0.0,0.0,0.0,0.0,0,0,True
output_027,loo_alone,0.047619047796442396,0.28571428677865435,False,0.0,0.0,0.0,0.0,0.0,0,0,True
output_027,shapley_alone,0.04595425738025091,0.19782953548443502,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,True
output_028,cascade_v,0.02352941145791727,0.13762877950176747,False,0.0,0.0,0.0,0.0,0.0,3,3,True
output_028,trak_alone,0.04444035520582048,0.09850796595763252,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_028,loo_alone,0.042921802721898654,0.08389145508408544,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_028,shapley_alone,0.0426535454471016,0.08389145508408549,False,0.0,0.0,0.0,0.2,0.2,0,0,True
output_029,cascade_v,0.027777777932998206,0.05331569989877088,False,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,2,3,False
output_029,trak_alone,0.043478261112518936,0.10504271608203809,False,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0,0,False
output_029,loo_alone,0.043478261112518936,0.1272409877332795,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
output_029,shapley_alone,0.04347826111251894,0.13450066126253982,False,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0,0,False
